ID,contest_id,contest_name,contest_url,is_exam,is_contest_status,regist_start_time,regist_end_time,contest_start_time,contest_end_time,thumb_pic,level_name,organiser,organiser_name,enter_range,contest_class_first,contest_class_second,contest_class_second_id,time_status,time_name,ranking,is_new,module
73,53259,【今日考试】第三届“道法杯”全国大学生文学知识大赛,vse/DFB2025,0,1,1739149200,1745672400,1743210000,1743343200,https://publicqn.saikr.com/contest/thmub/cropper/upload/1738987082754images.png,全国性,浙江省老子研究会,主办方,全国,1005,art_assessment,36,22,比赛进行中,0,0,0
74,53359,【领取往届真题PDF】第二届“中促杯” 全国大学生英语翻译能力大赛,vse/ZCBFY/2025,0,1,1741073400,1745676000,1743210000,1743260400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740994844567images.png,全国性,中国国际科技促进会综合素质与职业发展教育专业委员会,主办方,全国,1005,english,19,23,比赛结束,0,0,0
75,53446,【今日开赛】第三届“中外传播杯”全国大学生英语阅读大赛,vse/cfcc/2025R,0,1,1740672000,1745676000,1743211800,1743242400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740714288363images.png,全国性,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,全国,1005,english,19,23,比赛结束,38,0,0
76,52302,【最后一场】“东方创新杯”全国大学生英语词汇大赛,vse/ORIENT-VOCABULARY,0,1,1734019200,1745679600,1745629200,1745683140,https://publicqn.saikr.com/2025/02/05/contest67a2c53d7a3a62.218592021738720572327.png,全国性,华夏文化促进会文化和科技融合工作委员会,主办方,全国,1005,english,19,12,正在报名,22,0,0
77,53191,【最后一场报名】2025“英才计划”国际大学生英语综合能力大赛,vse/ICSECAC2025,0,1,1737334800,1745758800,1745715600,1745762400,https://publicqn.saikr.com/2025/01/15/contest6787779a2bae47.441368311736931319536.png,全国性,中华出版促进会国际人才文化传播工作委员会,主办方,全国,1005,english,19,12,正在报名,50,0,0
78,51078,2024 “创想中国 ”全国大学生简历设计大赛,vse/CXCNJL2024,0,1,1723737600,1746021600,1723737600,1746028740,https://publicqn.saikr.com/2025/02/13/contest67adbc256abb73.587511681739439169007.png,全国性,《中国就业》杂志社,主办方,全国,1004,occupation,28,22,比赛进行中,11,0,0
79,51698,第七届 CRH 杂交水稻杯机器人创客大赛 暨（19省）跨区域科创与科普大会,vse/51698,0,0,1734883200,1746028740,0,0,https://publicqn.saikr.com/2025/01/23/contest679206e2263f79.556739671737623284335.png,全国性,湖南省机器人科技教育学会 等,主办方,全国,1004,tiaozhanbei,7,12,正在报名,0,0,0
80,53678,关于举办中南大学第二十届数学建模竞赛的通知,vse/csumcm2025,0,1,1742745600,1746028799,1742832000,1749571199,,校级,中南大学,主办方,中南大学,1001,mcm,1,22,比赛进行中,0,1,0
81,53213,【综测加分】第二届“华文奖”全国大学生文化创新-文旅创作大赛,vse/HWJWL1/2025,0,1,1737388740,1746799200,1741881600,1747670340,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741925121319images.png,全国性,华夏文化促进会素质教育委员会,主办单位,全国,1005,art_assessment,36,22,比赛进行中,23,0,0
82,53326,2025年度第六届全国大学生算法设计与编程挑战赛（春季赛）,vse/adpc/2025/spring,0,1,1739289600,1746806399,1746939600,1746957600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741398975825images.png,全国性,天津市未来与预测科学研究会,主办方,全国,1001,computer,6,12,正在报名,26,0,0
